service_id,date,exception_type
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211201,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211202,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211203,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211206,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211207,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211208,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211209,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211210,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211213,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211214,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211215,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211216,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211217,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211220,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211221,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211222,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211223,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211227,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211228,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211229,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211230,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20211231,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220103,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220104,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220105,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220106,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220107,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220110,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220111,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220112,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220113,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220114,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220118,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220119,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220120,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220121,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220124,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220125,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220126,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220127,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220128,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220131,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220201,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220202,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220203,1
GoldLine-Weekday-57-RAIL-21-07-1111100-,20220204,1
MVS-Weekday-99-BUS-21-10-1111100-,20211104,1
MVS-Weekday-99-BUS-21-10-1111100-,20211105,1
MVS-Weekday-99-BUS-21-10-1111100-,20211108,1
MVS-Weekday-99-BUS-21-10-1111100-,20211109,1
MVS-Weekday-99-BUS-21-10-1111100-,20211110,1
MVS-Weekday-99-BUS-21-10-1111100-,20211111,1
MVS-Weekday-99-BUS-21-10-1111100-,20211112,1
MVS-Weekday-99-BUS-21-10-1111100-,20211115,1
MVS-Weekday-99-BUS-21-10-1111100-,20211116,1
MVS-Weekday-99-BUS-21-10-1111100-,20211117,1
MVS-Weekday-99-BUS-21-10-1111100-,20211118,1
MVS-Weekday-99-BUS-21-10-1111100-,20211119,1
MVS-Weekday-99-BUS-21-10-1111100-,20211122,1
MVS-Weekday-99-BUS-21-10-1111100-,20211123,1
MVS-Weekday-99-BUS-21-10-1111100-,20211124,1
MVS-Weekday-99-BUS-21-10-1111100-,20211129,1
MVS-Weekday-99-BUS-21-10-1111100-,20211130,1
MVS-Weekday-99-BUS-21-10-1111100-,20211201,1
MVS-Weekday-99-BUS-21-10-1111100-,20211202,1
MVS-Weekday-99-BUS-21-10-1111100-,20211203,1
MVS-Weekday-99-BUS-21-10-1111100-,20211206,1
MVS-Weekday-99-BUS-21-10-1111100-,20211207,1
MVS-Weekday-99-BUS-21-10-1111100-,20211208,1
MVS-Weekday-99-BUS-21-10-1111100-,20211209,1
MVS-Weekday-99-BUS-21-10-1111100-,20211210,1
MVS-Weekday-99-BUS-21-10-1111100-,20211213,1
MVS-Weekday-99-BUS-21-10-1111100-,20211214,1
MVS-Weekday-99-BUS-21-10-1111100-,20211215,1
MVS-Weekday-99-BUS-21-10-1111100-,20211216,1
MVS-Weekday-99-BUS-21-10-1111100-,20211217,1
MVS-Weekday-99-BUS-21-10-1111100-,20211220,1
MVS-Weekday-99-BUS-21-10-1111100-,20211221,1
MVS-Weekday-99-BUS-21-10-1111100-,20211222,1
MVS-Weekday-99-BUS-21-10-1111100-,20211223,1
MVS-Weekday-99-BUS-21-10-1111100-,20211227,1
MVS-Weekday-99-BUS-21-10-1111100-,20211228,1
MVS-Weekday-99-BUS-21-10-1111100-,20211229,1
MVS-Weekday-99-BUS-21-10-1111100-,20211230,1
MVS-Weekday-99-BUS-21-10-1111100-,20211231,1
MVS-Weekday-99-BUS-21-10-1111100-,20220103,1
MVS-Weekday-99-BUS-21-10-1111100-,20220104,1
MVS-Weekday-99-BUS-21-10-1111100-,20220105,1
MVS-Weekday-99-BUS-21-10-1111100-,20220106,1
MVS-Weekday-99-BUS-21-10-1111100-,20220107,1
MVS-Weekday-99-BUS-21-10-1111100-,20220110,1
MVS-Weekday-99-BUS-21-10-1111100-,20220111,1
MVS-Weekday-99-BUS-21-10-1111100-,20220112,1
MVS-Weekday-99-BUS-21-10-1111100-,20220113,1
MVS-Weekday-99-BUS-21-10-1111100-,20220114,1
MVS-Weekday-99-BUS-21-10-1111100-,20220118,1
MVS-Weekday-99-BUS-21-10-1111100-,20220119,1
MVS-Weekday-99-BUS-21-10-1111100-,20220120,1
MVS-Weekday-99-BUS-21-10-1111100-,20220121,1
MVS-Weekday-99-BUS-21-10-1111100-,20220124,1
MVS-Weekday-99-BUS-21-10-1111100-,20220125,1
MVS-Weekday-99-BUS-21-10-1111100-,20220126,1
MVS-Weekday-99-BUS-21-10-1111100-,20220127,1
MVS-Weekday-99-BUS-21-10-1111100-,20220128,1
